MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
3281794;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Especialização;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
3294426;444;D;13395;1506807;IFPA;40h;Santarém;1;Região Norte;-;Especialização;PA;Campus Santarém;EBTT;Substituto/Temporario;Sim
3294584;186;D;3522;1502707;IFPA;40h;Conceição do Araguaia;1;Região Norte;-;Graduação;PA;Campus Conceição do Araguaia;PCCTAE;Efetivo;Não
3294762;366;D;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Graduação;PA;Campus Parauapebas;EBTT;Substituto/Temporario;Sim
3300221;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;-;Doutorado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
3300398;266;E;13396;1503606;IFPA;40h;Itaituba;1;Região Norte;-;Especialização;PA;Campus Itaituba;PCCTAE;Efetivo;Não
3300406;350;D;32074;1505106;IFPA;40h;Óbidos;1;Região Norte;-;Doutorado;PA;Campus Óbidos;EBTT;Substituto/Temporario;Sim
3300477;139;D;32358;1502103;IFPA;40h;Cametá;1;Região Norte;-;Graduação;PA;Campus Cametá;EBTT;Substituto/Temporario;Sim
3300488;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;-;Doutorado;PA;Campus Cametá;EBTT;Efetivo;Sim
3300490;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;-;Especialização;PA;Campus Itaituba;EBTT;Efetivo;Sim
3300570;613;D;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Educação Básica;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
3300575;366;D;32045;1505536;IFPA;40h;Parauapebas;1;Região Norte;-;Especialização;PA;Campus Parauapebas;PCCTAE;Efetivo;Não
3308577;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;-;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
